,Site,Latitude,N2O,Archaeal_amoA,nir,,,,
Y134,Colombia_paramo,6.6699,0.00,5.66E+05,1.58E+10,,,,
Y135,Colombia_paramo,6.6699,0.49,2.26E+05,1.07E+10,,,,
Y136,Colombia_drained_paramo,6.643138,-0.67,3.08E+07,3.25E+10,,,,
Y137,Colombia_drained_paramo,6.643138,0.64,1.29E+07,2.46E+10,,,,
Y138,Colombia_drained_paramo,6.643138,-1.71,1.20E+07,2.20E+10,,,,
Y139,Pantanal_pasture_1,16.5054,-0.32,1.39E+06,3.16E+08,,,,
Y140,Pantanal_pasture_1,16.5054,-0.19,4.62E+05,2.58E+08,,,,
Y141,Pantanal_pasture_2,16.512,-0.38,1.62E+06,3.74E+08,,,,
Y142,Pantanal_pasture_2,16.512,0.00,1.92E+06,9.78E+08,,,,
Y143,Pantanal_pasture_3,16.5398,55.64,6.83E+06,7.30E+08,,,,
Y144,Pantanal_pasture_3,16.5398,32.56,1.84E+06,8.23E+08,,,,
Y145,Pantanal_swamp_forest,16.4833,-0.43,1.00E+05,1.06E+09,,,,
Y146,Pantanal_swamp_forest,16.4833,0.00,1.19E+05,1.09E+09,,,,
Y146B,Khabarovsk_fen,48.497288,0.00,2.79E+05,4.32E+08,,,,
Y147,Khabarovsk_drained_fen,48.49355,0.00,3.38E+07,1.29E+10,,,,
Y148,Kyrgyzstan_drained_fen,41.7612,2.96,1.87E+06,1.94E+10,,,,
Y149,Kyrgyzstan_drained_fen,41.7612,-1.80,2.68E+06,2.02E+10,,,,
Y150,Kyrgyzstan_fen_1,41.9442,-0.62,0.00E+00,8.53E+09,,,,
Y151,Kyrgyzstan_fen_1,41.9442,0.00,6.61E+04,1.04E+10,,,,
Y152,Kyrgyzstan_fen_2,41.894,0.18,0.00E+00,8.13E+09,,,,
Y153,Kyrgyzstan_fen_2,41.894,0.00,3.31E+05,1.95E+10,,,,
Y154,Myanmar_drained_fen_1,20.649196,76.71,1.99E+07,9.76E+08,,,,
Y155,Myanmar_drained_fen_1,20.649196,212.98,1.52E+06,2.21E+08,,,,
Y156,Myanmar_drained_fen_2,20.64826,66.31,1.57E+08,1.36E+10,,,,
Y157,Myanmar_drained_fen_1,20.64,153.89,1.48E+08,3.31E+09,,,,
Y158,Myanmar_drained_fen_2,20.639371,-0.28,2.08E+08,5.41E+09,,,,
Y159,Myanmar_fen,20.6106,0.00,3.16E+08,2.52E+10,,,,
Y160,Myanmar_drained_fen_2,20.6108,68.02,4.05E+08,6.21E+09,,,,
Y161,Myanmar_drained_fen_1,20.637195,88.00,9.95E+07,3.57E+09,,,,
Y162,Myanmar_fen,20.637093,8.05,2.51E+08,1.79E+10,,,,
Y163,Borneo_drained_swamp,5.3223,446.46,5.29E+07,2.16E+08,,,,
Y164,Borneo_drained_swamp,5.3223,209.11,4.16E+07,2.70E+08,,,,
Y165,Borneo_swamp_forest,5.3223,25.82,1.80E+08,2.31E+09,,,,
Y166,Borneo_swamp_forest,5.3223,71.07,6.80E+07,2.17E+09,,,,
Y167,Borneo_swamp_forest,5.3223,1.22,5.05E+07,1.51E+09,,,,
Y168,Borneo_swamp_forest,5.3223,45.09,4.52E+08,3.21E+09,,,,
Y169,Borneo_drained_swamp,5.323896,113.17,9.54E+07,3.21E+08,,,,
