Y,Bacteria;Acidobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Deltaproteobacteria,Bacteria;Chloroflexi,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Planctomycetes,Bacteria;Verrucomicrobia,Bacteria;Bacteroidetes,Archaea;Euryarchaeota,Bacteria;Nitrospirae,Bacteria;Firmicutes,Bacteria;Gemmatimonadetes,Bacteria;Parcubacteria,Bacteria;Spirochaetae,Bacteria;Ignavibacteriae,Eukaryota;Ascomycota,Bacteria;Microgenomates,Bacteria;Chlamydiae,Archaea;Bathyarchaeota,Archaea;Thaumarchaeota,Bacteria;Latescibacteria,Bacteria;Saccharibacteria,Eukaryota;Basidiomycota,,
Romania_bog_forest_1,0.476549301,0.372393401,0.355923035,0.270975727,0.159230702,0.180622535,0.177065625,0.199280786,0.198366649,0.124293715,0.036920735,0.103553722,0.143627512,0.061780206,0.103991583,0.052213804,0.053076901,0.062511358,0.070697825,0.075664991,0.044713231,0.048608406,0.042632393,0.089933131,0.063948589,,
Romania_bog_forest_2,0.719581158,0.372704602,0.316469561,0.186762317,0.061013036,0.106638404,0.170040641,0.161109108,0.189876365,0.068121139,0.058014048,0.073173841,0.097390742,0.024737273,0.031127053,0.015967841,0,0.07421182,0.01009895,0.100483279,0.04998725,0.053913637,0,0.049474546,0.03710591,,
Siberia_bog,0.66990213,0.412281665,0.191146368,0.116201463,0.069033956,0.074565194,0.22191312,0.186944836,0.247304773,0.084548983,0.074565194,0.028182994,0.169097967,0,0,0,0.028182994,0.116201463,0,0.093472418,0.028182994,0,0,0.039856773,0,,
Siberia_bog_forest,0.418039809,0.375425214,0.287561583,0.131942303,0.018297105,0.240660847,0.258112434,0.163654285,0.217266088,0.161595659,0,0,0.139346603,0,0.057860528,0,0,0.235030574,0,0.098532928,0,0.025876015,0,0.114265386,0.156330537,,
Siberia_fen,0.409535609,0.362376171,0.301536403,0.246653129,0.324631542,0.280991311,0.125,0.137051978,0.180037673,0.172974602,0.100695718,0.097338246,0.128927656,0.191664739,0.170067258,0.070616585,0.124333329,0.048240312,0.108636374,0.072932496,0.127631868,0.012892766,0.0288291,0.094742091,0.031580697,,
Taiwan_fen,0.357299972,0.298890181,0.189463053,0.357785764,0.274347092,0.247380908,0.27297191,0.19856479,0.179901419,0.128229472,0.165660076,0.174510498,0.140303383,0.084730453,0.13653897,0.142960493,0.115396491,0.049312081,0.093191074,0.079440494,0.129800146,0.056429997,0.079440494,0.039537624,0.045654116,,
Taiwan_recreation,0.307552224,0.204722596,0.167442065,0.368912887,0.34546157,0.208484401,0.203028311,0.190596434,0.194038972,0.200316388,0.240896426,0.14396315,0.123981167,0.062568328,0.118520917,0.19536954,0.149071198,0.030350097,0.091050291,0.070363805,0.154941629,0.043587008,0.086843184,0.05311267,0.026283955,,
Tasmania_blanket_bog,0.5,0.431995044,0.237356332,0.132686223,0.102778306,0.059339083,0.244661307,0.187646656,0.22981928,0.059339083,0,0.059339083,0.102778306,0.059339083,0,0.059339083,0.059339083,0.187646656,0,0.102778306,0,0,0,0.059339083,0.059339083,,
Tasmania_drained_fen_1,0.41081108,0.332913253,0.506879623,0.22445007,0.158710166,0.245872732,0.158710166,0.235405219,0.173858276,0.070977344,0,0,0.20693274,0.086929138,0.086929138,0,0.050188561,0.100377123,0.050188561,0.050188561,0,0,0,0.070977344,0,,
Tasmania_drained_fen_2,0.358115559,0.329797262,0.534522484,0.227921153,0.205445351,0.264206727,0.213200716,0.184637236,0.170940865,0.16612466,0,0.106600358,0.180187493,0.080582296,0.040291148,0,0,0.056980288,0,0,0,0.069786316,0.040291148,0.056980288,0,,
