,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y112,11.070228,9.909864,4.717363,5.300727,1,9.944836,8.690713,5.387725,8.516573,8.068973,7.134009,10.086927,,,,,,,,,,,,
Y113,10.955464,10.147653,4.217662,5.259826,1,9.758646,8.847676,5.623218,8.287911,7.871226,6.835878,9.865323,,,,,,,,,,,,
Y114,11.116156,9.984587,4.684085,6.348126,4.485904,9.914958,8.90601,5.924283,8.259789,8.049192,7.012205,10.067653,,,,,,,,,,,,
Y115,11.123232,9.976336,5.065485,5.62281,1,9.904668,8.828987,5.791036,8.466881,8.079989,6.959009,10.07185,,,,,,,,,,,,
Y116,11.086454,9.513886,4.712129,5.295442,4.487833,9.898215,8.000634,6.268588,8.487277,7.708014,7.115461,10.24867,,,,,,,,,,,,
Y117,10.877769,10.105903,7.88084,5.00457,1,9.877097,7.197404,4.909666,7.874648,9.299355,7.064222,10.014624,,,,,,,,,,,,
Y118,9.406297,7.908315,3.240326,4.028915,1,8.157732,1,4.01529,5.302371,1,4.761059,8.303659,,,,,,,,,,,,
Y119,9.207108,8.061173,3.566886,3.965306,1,8.002344,1,4.27169,1,1,4.807037,8.098009,,,,,,,,,,,,
Y120,9.740963,8.753007,4.554072,3.53146,1,8.511145,1,5.083007,5.487669,7.486094,5.393834,8.758872,,,,,,,,,,,,
Y121,9.713178,8.375319,3.749309,4.506609,1,8.488724,1,4.391671,5.078801,7.245308,5.700718,8.751997,,,,,,,,,,,,
Y122,10.181667,9.168804,7.609496,6.736579,5.243483,8.92094,7.085816,2.92684,6.644875,8.125943,5.477089,7.711169,,,,,,,,,,,,
Y123,10.65284,9.687771,7.992937,7.301603,6.578303,9.28216,8.638539,3.805267,7.362675,8.392998,6.084968,8.817922,,,,,,,,,,,,
Y124,10.546,9.59545,7.81474,8.000329,6.042727,8.95963,8.21755,4.749936,7.351499,7.764061,4.806666,8.570314,,,,,,,,,,,,
Y125,10.730812,9.837591,8.140616,7.824474,6.059279,9.172524,8.516704,5.102722,7.63906,7.998892,5.268072,8.905729,,,,,,,,,,,,
Y126,10.766804,9.91579,8.245375,8.173517,5.59174,9.295813,8.414933,5.09979,7.506086,8.093359,5.145517,8.898198,,,,,,,,,,,,
Y127,10.802343,9.774552,7.883423,7.327408,6.077587,9.435041,8.27352,4.885458,7.554315,8.648727,6.001847,9.104613,,,,,,,,,,,,
Y128,10.983539,9.76313,7.484267,7.831445,7.524813,10.060928,9.190971,5.809439,8.346052,8.92705,7.285547,9.828906,,,,,,,,,,,,
Y129,11.116518,10.165321,7.261805,6.998594,7.662813,9.999687,9.554605,5.847982,8.447228,9.121091,6.597249,9.972064,,,,,,,,,,,,
Y130,10.798354,9.713763,7.187558,6.942275,6.338631,9.68319,9.321343,5.113546,8.318808,8.626633,6.77799,9.652795,,,,,,,,,,,,
Y131,10.167475,8.844121,6.417103,5.415963,3.958688,9.068489,6.5765,5.975623,7.019084,7.795622,6.343801,8.943708,,,,,,,,,,,,
Y132,10.421208,8.373644,7.632084,4.286767,4.283489,9.397337,7.27469,5.742379,8.225966,7.893378,6.467926,9.350845,,,,,,,,,,,,
Y133,11.365235,10.805125,6.161725,5.715538,6.442929,10.24008,7.889082,5.432463,9.034898,8.007258,6.620402,10.900904,,,,,,,,,,,,
Y134,11.41431,10.29389,5.752548,5.875574,6.489879,10.196514,7.923972,5.54635,8.973947,7.698431,6.486161,10.573076,,,,,,,,,,,,
Y135,11.424614,10.155133,5.353693,5.466897,6.353588,10.024333,7.927512,5.527455,8.835502,7.1253,6.335999,10.302133,,,,,,,,,,,,
Y136,11.537246,10.300516,7.48828,6.218586,5.798149,10.507371,8.504015,5.247811,9.379112,7.97107,8.134408,11.001181,,,,,,,,,,,,
Y137,11.362901,10.27828,7.109981,5.92055,5.783416,10.387706,8.319623,5.227741,9.307796,7.740263,8.039495,10.788319,,,,,,,,,,,,
Y138,11.242882,10.141131,7.080567,5.967749,5.948571,10.33867,8.282964,5.045577,9.219453,7.678375,7.844499,10.743365,,,,,,,,,,,,
Y139,9.909745,8.680517,6.143439,1,1,8.486463,6.975636,3.517419,7.026015,7.309741,4.912264,8.750283,,,,,,,,,,,,
Y140,9.755493,8.446505,5.664386,1,1,8.405012,6.565784,3.409667,6.996001,6.988002,4.997202,8.758311,,,,,,,,,,,,
Y141,9.928105,9.087165,6.210066,1,1,8.565777,6.810418,3.723234,7.58237,7.36968,4.830359,9.088365,,,,,,,,,,,,
Y142,10.250451,9.232563,6.283586,1,1,8.984446,7.125479,3.613674,8.043389,7.445032,5.588443,9.631659,,,,,,,,,,,,
Y143,10.323323,9.597397,6.834417,1,1,8.833629,7.679362,5.490903,7.825037,8.17294,4.784802,9.082419,,,,,,,,,,,,
Y144,10.411339,9.578873,6.264199,1,1,8.896417,7.548208,5.352206,7.901243,8.449611,5.191192,9.374092,,,,,,,,,,,,
Y145,10.490939,9.251593,5.002074,1,1,8.973427,8.086918,4.512997,7.727978,7.876521,5.458658,9.455954,,,,,,,,,,,,
Y146,10.536424,9.064613,5.073902,1,1,8.990438,8.050401,4.296909,7.732518,7.990666,5.704748,9.207665,,,,,,,,,,,,
Y146B,10.764146,9.550633,5.445557,7.777344,1,8.614104,7.315748,4.776727,8.131027,1,5.978238,9.20406,,,,,,,,,,,,
Y147,10.685366,9.296906,7.529041,6.650958,1,10.10735,7.735761,1,8.273299,7.361183,7.527224,9.068493,,,,,,,,,,,,
Y148,10.884813,9.308732,6.272148,7.839296,6.196113,10.27414,8.780151,5.120763,8.486122,7.461829,6.809395,10.309207,,,,,,,,,,,,
Y149,10.863588,9.520796,6.428192,5.601203,6.003522,10.279152,9.065676,5.253846,8.489892,7.371524,6.911233,10.702105,,,,,,,,,,,,
Y150,11.065673,9.568398,1,5.109493,4.93266,9.92026,8.311608,5.510017,7.222395,7.57464,6.592478,10.209323,,,,,,,,,,,,
Y151,11.195665,9.924604,4.820517,5.090231,4.764745,9.97024,9.007587,5.504789,7.697098,8.025174,6.818293,10.414177,,,,,,,,,,,,
Y152,11.132324,9.959121,1,5.391379,1,9.812482,9.213628,5.762957,7.716226,7.883986,6.898898,10.615234,,,,,,,,,,,,
Y153,11.45197,10.07148,5.51972,5.871907,5.409869,10.28167,8.549068,5.905916,7.539159,7.814839,7.246879,10.829762,,,,,,,,,,,,
Y154,10.571787,9.479914,7.298433,6.853195,5.773693,8.879197,8.341005,4.98911,7.824027,8.48015,5.740917,9.089074,,,,,,,,,,,,
Y155,9.776032,8.577377,6.183255,6.122597,4.948991,8.284947,7.448707,3.799959,7.06347,7.772593,1,8.312354,,,,,,,,,,,,
Y156,11.354914,10.25326,8.195978,6.80785,5.938952,10.095783,9.067847,5.912631,8.598662,9.38037,7.014897,10.150718,,,,,,,,,,,,
Y157,10.929201,9.967923,8.168914,7.343487,6.544892,9.377789,8.964242,4.787801,8.36606,8.900585,6.43023,9.602986,,,,,,,,,,,,
